Job Title,Experience Level,Location,Key Technologies,Job Description
UI/UX Designer,Mid,Bali,"Photoshop, Sketch, InVision",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Machine Learning Engineer,Mid,Jakarta,"TensorFlow, scikit-learn, MLflow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Cloud Architect,Junior,Bandung,"GCP, CloudFormation, Ansible",Merancang solusi arsitektur cloud yang skalabel dan aman.
UI/UX Designer,Junior,Yogyakarta,"Figma, Photoshop, Adobe XD",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Backend Developer,Mid,Bali,"Node.js, Go, Python",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Machine Learning Engineer,Senior,Remote,"Python, PyTorch, scikit-learn",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
DevOps Engineer,Junior,Jakarta,"Terraform, AWS, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
DevOps Engineer,Junior,Jakarta,"Kubernetes, Docker, AWS",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
QA Engineer,Lead,Bali,"Postman, TestRail, Cypress",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Data Scientist,Junior,Remote,"Pandas, TensorFlow, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Machine Learning Engineer,Junior,Bali,"scikit-learn, TensorFlow, MLflow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Backend Developer,Junior,Bali,"Java, Node.js, Python",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
QA Engineer,Lead,Jakarta,"Cypress, JMeter, TestRail",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Data Scientist,Mid,Jakarta,"R, Python, Scikit-learn",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
DevOps Engineer,Junior,Remote,"AWS, Kubernetes, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
UI/UX Designer,Lead,Remote,"Sketch, InVision, Photoshop",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
QA Engineer,Senior,Surabaya,"TestRail, Cypress, Selenium",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
UI/UX Designer,Senior,Bali,"InVision, Adobe XD, Photoshop",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
DevOps Engineer,Mid,Yogyakarta,"AWS, Linux, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Machine Learning Engineer,Senior,Jakarta,"Python, MLflow, PyTorch",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
UI/UX Designer,Lead,Bandung,"Figma, Adobe XD, InVision",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Data Scientist,Mid,Bali,"R, TensorFlow, Pandas",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Backend Developer,Lead,Yogyakarta,"SQL, Node.js, Java",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
UI/UX Designer,Senior,Remote,"Adobe XD, Photoshop, InVision",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
UI/UX Designer,Senior,Bali,"Figma, InVision, Adobe XD",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
DevOps Engineer,Junior,Bandung,"Terraform, Docker, AWS",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Backend Developer,Mid,Remote,"Go, Node.js, Python",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Mobile Developer,Lead,Bali,"Dart, Flutter, React Native",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
DevOps Engineer,Mid,Remote,"AWS, Docker, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
UI/UX Designer,Lead,Remote,"Adobe XD, Photoshop, Figma",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Frontend Developer,Junior,Surabaya,"Vue.js, HTML, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
DevOps Engineer,Lead,Bandung,"Docker, Terraform, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Frontend Developer,Mid,Bali,"HTML, React, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Product Manager,Senior,Remote,"User Research, JIRA, Scrum",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
DevOps Engineer,Senior,Bandung,"AWS, Kubernetes, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Mobile Developer,Junior,Remote,"Dart, Swift, Flutter",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Frontend Developer,Mid,Surabaya,"JavaScript, React, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
QA Engineer,Junior,Jakarta,"JMeter, TestRail, Selenium",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Machine Learning Engineer,Lead,Remote,"MLflow, Python, scikit-learn",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Mobile Developer,Mid,Surabaya,"Kotlin, Swift, Dart",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Mobile Developer,Senior,Yogyakarta,"Kotlin, React Native, Flutter",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
DevOps Engineer,Lead,Jakarta,"Kubernetes, Docker, Terraform",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Product Manager,Senior,Jakarta,"User Research, JIRA, Confluence",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Data Scientist,Lead,Surabaya,"TensorFlow, R, Python",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Senior,Bandung,"R, Python, Scikit-learn",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Mid,Jakarta,"R, Pandas, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Mid,Bandung,"Scikit-learn, Pandas, Python",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Machine Learning Engineer,Junior,Remote,"PyTorch, scikit-learn, MLflow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
DevOps Engineer,Lead,Bali,"Kubernetes, Terraform, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Backend Developer,Senior,Remote,"Node.js, Java, Go",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Machine Learning Engineer,Mid,Remote,"scikit-learn, Python, PyTorch",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
DevOps Engineer,Junior,Surabaya,"Terraform, Docker, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
DevOps Engineer,Mid,Bali,"Kubernetes, AWS, Terraform",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
UI/UX Designer,Junior,Jakarta,"Photoshop, InVision, Sketch",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Backend Developer,Junior,Bali,"SQL, Node.js, Java",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Frontend Developer,Mid,Bandung,"React, HTML, Vue.js",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Product Manager,Junior,Bandung,"Confluence, Scrum, Agile",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Product Manager,Junior,Jakarta,"Scrum, JIRA, Agile",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Mobile Developer,Mid,Bali,"Flutter, Swift, React Native",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Machine Learning Engineer,Senior,Remote,"TensorFlow, Python, scikit-learn",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Backend Developer,Lead,Jakarta,"Python, SQL, Node.js",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Frontend Developer,Junior,Yogyakarta,"React, Vue.js, HTML",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Mobile Developer,Senior,Bandung,"React Native, Dart, Kotlin",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Data Scientist,Mid,Yogyakarta,"Pandas, TensorFlow, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
QA Engineer,Senior,Yogyakarta,"Postman, Cypress, TestRail",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
QA Engineer,Lead,Remote,"TestRail, Postman, Cypress",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Data Scientist,Lead,Remote,"Python, R, Scikit-learn",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Cloud Architect,Senior,Bandung,"AWS, Azure, Ansible",Merancang solusi arsitektur cloud yang skalabel dan aman.
Product Manager,Senior,Bali,"JIRA, Scrum, User Research",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Machine Learning Engineer,Mid,Yogyakarta,"MLflow, scikit-learn, TensorFlow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Machine Learning Engineer,Lead,Remote,"PyTorch, TensorFlow, Python",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
UI/UX Designer,Mid,Bali,"Adobe XD, Photoshop, Figma",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Machine Learning Engineer,Junior,Surabaya,"PyTorch, Python, MLflow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
DevOps Engineer,Lead,Jakarta,"Terraform, Linux, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Backend Developer,Mid,Remote,"Java, Node.js, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
DevOps Engineer,Senior,Bali,"Terraform, AWS, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Data Scientist,Senior,Bali,"Scikit-learn, TensorFlow, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Backend Developer,Junior,Yogyakarta,"Node.js, Go, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Backend Developer,Lead,Yogyakarta,"SQL, Go, Python",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
QA Engineer,Lead,Jakarta,"Postman, Cypress, Selenium",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Cloud Architect,Junior,Jakarta,"GCP, AWS, CloudFormation",Merancang solusi arsitektur cloud yang skalabel dan aman.
Frontend Developer,Lead,Remote,"HTML, JavaScript, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
DevOps Engineer,Senior,Bali,"Kubernetes, AWS, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
DevOps Engineer,Mid,Jakarta,"Terraform, Linux, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Data Scientist,Senior,Jakarta,"TensorFlow, Scikit-learn, Python",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Cloud Architect,Senior,Bali,"CloudFormation, AWS, GCP",Merancang solusi arsitektur cloud yang skalabel dan aman.
Data Scientist,Senior,Surabaya,"Python, Scikit-learn, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Lead,Remote,"Python, TensorFlow, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Senior,Yogyakarta,"R, Scikit-learn, Pandas",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Product Manager,Senior,Remote,"JIRA, User Research, Confluence",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
UI/UX Designer,Junior,Yogyakarta,"Photoshop, Adobe XD, Figma",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Data Scientist,Lead,Surabaya,"Scikit-learn, TensorFlow, Python",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Backend Developer,Mid,Remote,"Node.js, Go, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
DevOps Engineer,Lead,Surabaya,"AWS, Docker, Terraform",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Data Scientist,Lead,Yogyakarta,"Python, TensorFlow, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Senior,Remote,"Pandas, TensorFlow, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Cloud Architect,Mid,Remote,"Ansible, Azure, AWS",Merancang solusi arsitektur cloud yang skalabel dan aman.
DevOps Engineer,Junior,Jakarta,"Terraform, AWS, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
QA Engineer,Senior,Bali,"TestRail, Postman, Selenium",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Backend Developer,Junior,Yogyakarta,"Python, Go, Node.js",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Frontend Developer,Lead,Yogyakarta,"React, CSS, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Product Manager,Lead,Bali,"User Research, Confluence, Scrum",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Frontend Developer,Junior,Bali,"CSS, React, Vue.js",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Product Manager,Mid,Remote,"JIRA, Scrum, User Research",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Frontend Developer,Senior,Surabaya,"HTML, React, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Mobile Developer,Lead,Remote,"Dart, Flutter, Kotlin",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
QA Engineer,Senior,Bandung,"Postman, TestRail, Cypress",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Frontend Developer,Mid,Jakarta,"JavaScript, React, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Cloud Architect,Senior,Jakarta,"AWS, GCP, CloudFormation",Merancang solusi arsitektur cloud yang skalabel dan aman.
DevOps Engineer,Lead,Yogyakarta,"Linux, AWS, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Mobile Developer,Lead,Bali,"Kotlin, Flutter, React Native",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Machine Learning Engineer,Lead,Jakarta,"Python, TensorFlow, PyTorch",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
QA Engineer,Mid,Yogyakarta,"TestRail, JMeter, Selenium",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
QA Engineer,Senior,Surabaya,"Cypress, TestRail, Postman",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Mobile Developer,Junior,Bali,"Swift, Dart, Flutter",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Data Scientist,Lead,Bandung,"Python, TensorFlow, Scikit-learn",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
QA Engineer,Senior,Jakarta,"Postman, TestRail, Selenium",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Data Scientist,Mid,Remote,"Pandas, Python, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Cloud Architect,Senior,Remote,"AWS, Ansible, Azure",Merancang solusi arsitektur cloud yang skalabel dan aman.
QA Engineer,Mid,Surabaya,"TestRail, JMeter, Cypress",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Backend Developer,Lead,Jakarta,"Python, Node.js, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Backend Developer,Junior,Remote,"Java, Go, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Frontend Developer,Lead,Yogyakarta,"HTML, CSS, Vue.js",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Cloud Architect,Senior,Bandung,"CloudFormation, AWS, Ansible",Merancang solusi arsitektur cloud yang skalabel dan aman.
Product Manager,Lead,Bandung,"JIRA, Agile, Confluence",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Frontend Developer,Senior,Yogyakarta,"Vue.js, React, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Mobile Developer,Senior,Yogyakarta,"Dart, React Native, Swift",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Frontend Developer,Senior,Bali,"CSS, React, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Product Manager,Senior,Yogyakarta,"User Research, JIRA, Scrum",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Cloud Architect,Junior,Remote,"AWS, CloudFormation, Ansible",Merancang solusi arsitektur cloud yang skalabel dan aman.
UI/UX Designer,Junior,Jakarta,"Photoshop, InVision, Sketch",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Data Scientist,Junior,Yogyakarta,"TensorFlow, Python, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Backend Developer,Senior,Surabaya,"Node.js, Go, Java",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Frontend Developer,Mid,Bali,"HTML, Vue.js, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
DevOps Engineer,Lead,Jakarta,"Linux, Kubernetes, Terraform",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
UI/UX Designer,Lead,Bandung,"Sketch, Adobe XD, Figma",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Product Manager,Mid,Bali,"Scrum, User Research, JIRA",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Product Manager,Junior,Bali,"JIRA, Scrum, Agile",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
DevOps Engineer,Senior,Yogyakarta,"Linux, Terraform, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Frontend Developer,Junior,Remote,"HTML, CSS, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Product Manager,Mid,Bandung,"Scrum, JIRA, Agile",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Backend Developer,Mid,Yogyakarta,"Java, Node.js, Go",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Frontend Developer,Senior,Surabaya,"Vue.js, JavaScript, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Machine Learning Engineer,Mid,Jakarta,"PyTorch, MLflow, scikit-learn",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
DevOps Engineer,Mid,Remote,"AWS, Linux, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Machine Learning Engineer,Senior,Bali,"scikit-learn, PyTorch, Python",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Frontend Developer,Junior,Surabaya,"CSS, HTML, React",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
DevOps Engineer,Senior,Bali,"Kubernetes, Terraform, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Data Scientist,Junior,Surabaya,"TensorFlow, Pandas, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Mobile Developer,Junior,Remote,"Flutter, Kotlin, Dart",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Cloud Architect,Senior,Jakarta,"CloudFormation, Azure, GCP",Merancang solusi arsitektur cloud yang skalabel dan aman.
Mobile Developer,Junior,Surabaya,"React Native, Swift, Kotlin",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
QA Engineer,Lead,Bali,"Postman, TestRail, JMeter",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Data Scientist,Senior,Bali,"Pandas, Python, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Mobile Developer,Lead,Remote,"Dart, Flutter, React Native",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Frontend Developer,Senior,Bandung,"HTML, React, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Product Manager,Junior,Bali,"Scrum, Agile, User Research",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Data Scientist,Junior,Yogyakarta,"Pandas, TensorFlow, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Junior,Surabaya,"Python, Scikit-learn, Pandas",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Lead,Bali,"Python, Scikit-learn, Pandas",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Junior,Yogyakarta,"Scikit-learn, TensorFlow, Python",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Cloud Architect,Mid,Remote,"Azure, AWS, Ansible",Merancang solusi arsitektur cloud yang skalabel dan aman.
Frontend Developer,Junior,Bali,"CSS, React, Vue.js",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
DevOps Engineer,Mid,Yogyakarta,"AWS, Linux, Terraform",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Backend Developer,Lead,Surabaya,"Node.js, Java, Go",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Cloud Architect,Junior,Yogyakarta,"Ansible, CloudFormation, Azure",Merancang solusi arsitektur cloud yang skalabel dan aman.
QA Engineer,Junior,Bali,"Cypress, TestRail, JMeter",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
DevOps Engineer,Mid,Jakarta,"Terraform, Docker, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Mobile Developer,Lead,Jakarta,"Dart, Kotlin, Swift",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Mobile Developer,Junior,Yogyakarta,"React Native, Dart, Swift",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Frontend Developer,Senior,Jakarta,"HTML, React, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Machine Learning Engineer,Junior,Bandung,"scikit-learn, Python, TensorFlow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
DevOps Engineer,Mid,Jakarta,"Terraform, AWS, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
UI/UX Designer,Junior,Bandung,"Adobe XD, Sketch, Figma",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Cloud Architect,Lead,Jakarta,"Ansible, CloudFormation, AWS",Merancang solusi arsitektur cloud yang skalabel dan aman.
UI/UX Designer,Senior,Surabaya,"InVision, Adobe XD, Photoshop",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Backend Developer,Lead,Bandung,"Node.js, Python, Go",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
DevOps Engineer,Senior,Surabaya,"Docker, Kubernetes, Terraform",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Backend Developer,Mid,Jakarta,"Node.js, SQL, Go",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Machine Learning Engineer,Junior,Surabaya,"TensorFlow, Python, PyTorch",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Backend Developer,Mid,Jakarta,"SQL, Python, Node.js",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
QA Engineer,Lead,Remote,"TestRail, Cypress, JMeter",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
QA Engineer,Senior,Surabaya,"Selenium, Cypress, JMeter",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Product Manager,Lead,Bali,"Scrum, JIRA, User Research",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
DevOps Engineer,Junior,Remote,"Terraform, AWS, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Backend Developer,Junior,Bandung,"Node.js, SQL, Go",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
DevOps Engineer,Senior,Yogyakarta,"Terraform, Docker, AWS",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
QA Engineer,Mid,Remote,"Selenium, JMeter, TestRail",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Machine Learning Engineer,Lead,Bali,"scikit-learn, TensorFlow, PyTorch",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Backend Developer,Junior,Bali,"Java, Python, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
UI/UX Designer,Junior,Bali,"Figma, Adobe XD, Sketch",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
QA Engineer,Junior,Bandung,"JMeter, Selenium, TestRail",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Machine Learning Engineer,Lead,Jakarta,"PyTorch, Python, TensorFlow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Data Scientist,Mid,Jakarta,"Pandas, Scikit-learn, Python",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Mobile Developer,Junior,Remote,"Dart, Kotlin, React Native",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Frontend Developer,Senior,Bandung,"Vue.js, JavaScript, React",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Cloud Architect,Mid,Bandung,"GCP, CloudFormation, Azure",Merancang solusi arsitektur cloud yang skalabel dan aman.
Mobile Developer,Senior,Yogyakarta,"Swift, Flutter, Dart",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Product Manager,Mid,Bandung,"Agile, Scrum, User Research",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
DevOps Engineer,Lead,Bandung,"Linux, Terraform, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
DevOps Engineer,Mid,Bali,"Kubernetes, AWS, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
QA Engineer,Lead,Surabaya,"Cypress, Postman, TestRail",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
DevOps Engineer,Mid,Bali,"Kubernetes, Terraform, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
UI/UX Designer,Mid,Surabaya,"Photoshop, Sketch, InVision",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Product Manager,Junior,Remote,"Scrum, User Research, Confluence",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Mobile Developer,Senior,Yogyakarta,"React Native, Kotlin, Dart",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
DevOps Engineer,Lead,Bandung,"Terraform, Docker, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
QA Engineer,Lead,Jakarta,"TestRail, JMeter, Selenium",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Product Manager,Mid,Yogyakarta,"Scrum, Agile, User Research",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
